status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmta1j2rw00fgq8iydjopixyl,Myrtia,Myrtia Gift Card,beauty,114,,merchant-page:beauty | page-excerpt:beauty,beauty:114 | experiences:62,https://myrtia.gr/el/25-gift-cards,https://myrtia.gr
SAFE,cmta5nv42001n54iywdz7r09e,Naxos Art,Naxos Art Gift Card,home,107,,merchant-page:home-living,home:107 | fashion:70 | restaurants:66 | experiences:62,https://naxos-art.gr/product/gift-card/,https://naxos-art.gr
SAFE,cmta4yyi40037sciy4r3rabo3,Niai,Niai Gift Card,pets,131,,official-page:pet-industry | merchant-page:pet-industry | page-excerpt:pet-industry,pets:131,https://niai.gr/products/niai-gift-card?srsltid=AfmBOopBNVxFWbIETvSGWX_vCWgzp4xIAejqXGAmhyh_ASLWUuI58Q3K,https://niai.gr
SAFE,cmtb62pj6001l94iyhjzhf3fh,Nousoma,Nousoma Gift Card,spa-wellness,122,,official-page:spa-wellness | merchant-page:spa-wellness | page-excerpt:spa-wellness,spa-wellness:122 | beauty:74 | books:68 | experiences:62,https://nousoma.gr/gift-card/,https://nousoma.gr
SAFE,cmtb77evp002jdkiymdaiyh09,Nur and Co,Δωροκάρτες - Nur and Co,home,107,,merchant-page:home-living,home:107,https://nurnco.gr/products/dorokartes,https://nurnco.gr
SAFE,cmta1kz5j00naq8iyo9j5whw7,Paraphernalia,e-Gift Voucher,home,107,,merchant-page:home-living | page-excerpt:home-living,home:107 | jewelry-watches:79 | beauty:74 | books:68 | experiences:62,https://www.paraphernalia.gr/shop/product/gifting/gift-vouchers/egift-voucher/,https://paraphernalia.gr
SAFE,cmta1j77e00fyq8iyr9b9nm78,Parnass,Gift card Parnass 120,sports,117,,official-page:sports-outdoor | merchant-page:sports-outdoor | page-excerpt:sports-outdoor,sports:117 | fashion:70,https://parnass.gr/,https://parnass.gr
SAFE,cmta1f3cy0011q8iy2c3kuujw,Perdikis,ΕΥΧΕΤΗΡΙΑ ΚΑΡΤΑ ΓΙΑ ΧΡΗΜΑΤΑ (ΜΠΙΛΙΕΤΑΚΙ) PICTURA ΟΥΡΑΝΙΟ ΤΟΞΟ 19926,technology,114,,official-page:technology | merchant-page:technology | page-excerpt:technology,technology:114 | books:68,https://www.perdikis.gr/,https://perdikis.gr
SAFE,cmta1j8og00g4q8iyvg84dauk,Pethellas,Δωροκάρτα,pets,126,,merchant-page:pet-industry,pets:126,https://pethellas.gr/product/gift-card/,https://pethellas.gr
SAFE,cmta1j9kr00g8q8iytr87lk32,Petvet24,Δωροκάρτα (Gift Card),pets,126,,merchant-page:pet-industry | page-excerpt:pet-industry,pets:126 | spa-wellness:77,https://www.petvet24.gr/gift-card/,https://petvet24.gr
SAFE,cmta1l09c00neq8iy2d769fb1,Pibu,Pibu Gift Card,beauty,119,,official-page:beauty | merchant-page:beauty | page-excerpt:beauty,beauty:119,https://www.pibu.gr/product-category/gift-card/,https://pibu.gr
SAFE,cmta1fpyi0039q8iyyzfu0kma,Pragmatic,Pragmatic Gift Voucher 100,home,107,,merchant-page:home-living,home:107 | spa-wellness:77 | fashion:70 | technology:69,https://www.pragmatic.gr/dora/gift-cards/,https://pragmatic.gr
SAFE,cmta1nnui00xqq8iyverz0w50,Profitstore,ΔωροΕπιταγή - Gift Card αξίας 500€ - ProfitStore,technology,114,,official-page:technology | merchant-page:technology,technology:114 | pets:86,https://profitstore.gr/,https://profitstore.gr
SAFE,cmtb62sem002194iy651slae1,Sfinx,Sfinx Gift Card,jewelry-watches,124,,official-page:jewelry | merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:124,https://sfinx.gr/products/gift-card?srsltid,https://sfinx.gr
SAFE,cmta1ffa4002bq8iy5k6w34t1,Shopdali,DA|LI Gift Card 50,education,120,,merchant-page:education | page-excerpt:education,education:120 | jewelry-watches:79 | fashion:70 | books:68,https://shopdali.gr/products/littles-gift-card-100,https://shopdali.gr
SAFE,cmta1jfeg00gwq8iyzwet61xe,Skinky,Skinky Gift Card,beauty,114,,merchant-page:beauty | page-excerpt:beauty,beauty:114,https://skinky.gr/p/gift-card/?v=cd941bfdbc84,https://skinky.gr
SAFE,cmta1jgb900h0q8iyso43fmmm,Sokmi,Gift card - Δωροκάρτα,beauty,119,,official-page:beauty | merchant-page:beauty | page-excerpt:beauty,beauty:119,https://sokmi.gr/,https://sokmi.gr
SAFE,cmta1ntm900ycq8iy3qr4gnvr,Spaniriides,Gift card - https://www.spaniriides.com.gr,spa-wellness,117,,merchant-page:spa-wellness | page-excerpt:spa-wellness,spa-wellness:117 | jewelry-watches:79 | hotels:65,https://www.spaniriides.com.gr/product/gift-card/,https://spaniriides.com.gr
SAFE,cmtb78bqw0074dkiyvvhnv4d4,Stemalaser,Stemalaser Gift Card,beauty,119,,official-page:beauty | page-excerpt:beauty,beauty:119 | technology:69 | books:68 | experiences:62,https://stemalaser.gr/en/product/gift-card-2/,https://stemalaser.gr
SAFE,cmta1kcnp00kqq8iy2x1zitpr,Studio83,Studio83 Gift Card,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110 | hotels:65 | travel:64 | experiences:62 | gifts-concept-stores:56,https://www.studio83.gr/product/gift-card/,https://studio83.gr
SAFE,cmta1jm6i00hoq8iy9v4u5xg5,T Support,Ηλεκτρονική Δωροκάρτα,technology,109,,merchant-page:technology | page-excerpt:technology,technology:109 | education:80 | jewelry-watches:79 | spa-wellness:77 | gaming:73,https://t-support.gr/egift-card,https://t-support.gr
SAFE,cmta1jmup00hqq8iy8s59w364,Talosgems,"Δωροκάρτα - Talos Gems - Φυσικά Πετρώματα, Κρύσταλλα ...",jewelry-watches,127,,identity:jewelry | official-page:jewelry | merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:127 | home:67,https://www.talosgems.gr/product-category/egiftcard-2/,https://talosgems.gr
SAFE,cmta1l78z00o6q8iysj0iud1x,Thamon,Gift Card – Thamon,restaurants,106,,merchant-page:restaurant | page-excerpt:restaurant,restaurants:106,https://www.thamon.gr/gift-card/,https://thamon.gr
SAFE,cmta1jpat00i0q8iywyn40qck,Thebrands,VIRTUAL GIFT CARD,fashion,115,,official-page:fashion | merchant-page:fashion | page-excerpt:fashion,fashion:115,https://thebrands.gr/product/gift-card/,https://thebrands.gr
SAFE,cmta1lci000osq8iyoc41j59a,Thewonderroom,GIFT CARDS Archives,experiences,102,,merchant-page:experience | page-excerpt:experience,experiences:102 | arts-crafts:81 | education:80 | jewelry-watches:79 | beauty:74,https://www.thewonderroom.gr/product-category/gift-finder/gift-cards/,https://thewonderroom.gr
SAFE,cmtb77lnk003idkiykm5i5vto,Theλamdaproject,Theλamdaproject Gift Card,education,125,,official-page:education | page-excerpt:education,education:125 | experiences:102 | spa-wellness:77,https://thelproject.gr/courses/gift-voucher/,https://thelproject.gr
SAFE,cmta5nyde002454iyc6vaizw0,Thomann,Thomann Gift Card,music,122,,merchant-page:music-retail | page-excerpt:music-retail,music:122 | home:67 | experiences:62,https://www.thomann.gr/gift_voucher.html,https://thomann.de
SAFE,cmta1nwjv00yoq8iyc4zi26q7,Tirato,Gift Card TIRA TO,jewelry-watches,119,,merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:119 | education:80 | experiences:62,https://tirato.gr/products/gift-card-tira-to,https://tirato.gr
SAFE,cmta1jr9v00i8q8iye2zkol72,Toalfavitarisou,e-Gift Card,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110,https://toalfavitarisou.gr/e-gift-card/,https://toalfavitarisou.gr
SAFE,cmta1gzev007oq8iyr3kfe0e4,Tsinekidis,Δωροκάρτα,jewelry-watches,124,,official-page:jewelry | page-excerpt:jewelry,jewelry-watches:124,https://tsinekidis.gr/product/dwrokarta/dorokarta/,https://tsinekidis.gr
SAFE,cmta4z6uc0045sciy734e8srp,Valaora,Gift Card - Valaora,restaurants,106,,merchant-page:restaurant | page-excerpt:restaurant,restaurants:106 | books:68 | food-delivery:63 | experiences:62,https://valaora.gr/gift-cards/,https://valaora.gr
SAFE,cmta1juox00imq8iyq0ogpo5e,Veel,Ηλεκτρονική δωροκάρτα | Veel,beauty,119,,official-page:beauty | page-excerpt:beauty,beauty:119,https://veel.gr/product-category/dwrokarta-veel/,https://veel.gr
SAFE,cmtb6v8x4004m3giyp2bbit9u,Zooparadise,Δωροκάρτα,pets,131,,official-page:pet-industry | merchant-page:pet-industry | page-excerpt:pet-industry,pets:131,https://zooparadise.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,https://zooparadise.gr
SAFE,cmta1f5j70017q8iy3ul3t87x,arfie.gr,Arfie Gift Card,gifts-concept-stores,101,,official-page:gift-concept | merchant-page:gift-concept,gifts-concept-stores:101 | experiences:62,https://www.arfie.gr/,https://arfie.gr
SAFE,cmtb6v5n300443giyc38lkfcr,for Car Lovers - Swissvax,Gift Voucher - for Car Lovers - Swissvax,experiences,107,,official-page:experience | page-excerpt:experience,experiences:107 | automotive:84 | beauty:74,https://swissvax.gr/en/products/geschenkgutschein,https://swissvax.gr
