status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
SAFE,cmtb62hzc000g94iyu8xt54ke,Fmsstores,fmsstores,https://fmsstores.gr,https://www.fmsstores.gr/el/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,379,https://www.fmsstores.gr/img/logo-1767874482.svg,img:logo img-fluid Fms Stores logo,22ac9b9a3c176476c45a749775994efecac739b84187aec4ae5d9d295f40fac6,434,120,8398
REVIEW,cmtb76yef0006dkiyil6ybdjc,for Stay in Greece,for-stay-in,https://athens-stay.gr,https://www.athens-stay.gr/,STRONG_CANDIDATE_REJECTED|ASSET_NOT_IMAGE:text/html; charset=utf-8,JSONLD_LOGO,228,https://www.athens-stay.gr/#image26,JSON-LD logo property,,,,
REVIEW,cmtb6uorg001l3giy24moh9jp,Francesca,gift-card-2,https://francesca.gr,https://www.francesca.gr/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-60,https://static.parastorage.com/client/pfavico.ico,link rel=icon,,,,
ERROR,cmtb62j5r000m94iy0ng8c71m,Gbroofgarden,gbroofgarden,https://gbroofgarden.gr,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmtb6upj2001p3giy68izspkm,Gelia Jewelry & Creations,gelia-jewelry-and-creations,https://geliajewelry.gr,https://geliajewelry.gr/,NO_AUTO_SAFE_CANDIDATE,HEADER_IMAGE,187,https://geliajewelry.gr/cdn/shop/files/Black_White_Minimalist_Calligraphy_Flourish_Designer_Logo_27b877fb-44a4-4f6b-ac11-d3dd14be3216.png?v=1702925296&width=600,img:header__heading-logo motion-reduce header__heading-link link link--text focus-inset Gelia Jewelry & Creations,,,,
REVIEW,cmt8faygb00006kiynlty806o,Germanos,germanos,https://www.germanos.gr,https://www.germanos.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:16x16,SITE_ICON,84,https://www.germanos.gr/favicon.png,link rel=icon,,,,
ERROR,cmta1n28m00vdq8iylsiovqrs,Ggbeauty,ggbeauty,https://ggbeauty.gr,,PAGE_TIMEOUT,,,,,,,,
REVIEW,cmta1gbip0055q8iyzwigl93e,Hallofbrands,hallofbrands,https://hallofbrands.gr,https://www.hallofbrands.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:16x16,HEADER_IMAGE,172,https://www.hallofbrands.gr/image/cache/wp/gp/Logo_hob_30_white-324x30-324x30.webp,img:Hall of Brands,,,,
REVIEW,cmta1ice000c5q8iyu99sa66p,Haralas,haralas,https://haralas.gr,https://www.haralas.gr/,STRONG_CANDIDATE_REJECTED|DYNAMIC_AVIF_VARIANT_NOT_STABLE_FOR_AUDIT,HEADER_IMAGE,224,https://static.kalogirou.com/media/logo/websites/2/har_logo_1_1_.png,img:logo store logo,,,,
ERROR,cmta1icso00c7q8iyl4xfcphi,Harmanis,harmanis,https://harmanis.gr,,PAGE_HTTP_403,,,,,,,,
