status,giftCardId,merchantName,giftCardTitle,merchantDomain,categorySlug,score,reason,evidence
SAFE,cmtb77dqg002ddkiy5xfdestp,Ambassador Mykonos,Gift Cards | Ambassador Mykonos,myconianambassador.gr,hotels,125,,operator-curated-exact-domain:myconianambassador.gr
SAFE,cmtb77k6s003bdkiymw7vsc5w,Skinreal,Δωροκάρτα,skinreal.gr,beauty,125,,operator-curated-exact-domain:skinreal.gr
SAFE,cmtb77kvs003edkiy6w6lndbt,Tennis Garden,Tennis Garden Gift Card,tennisgarden.gr,sports,125,,operator-curated-exact-domain:tennisgarden.gr
SAFE,cmtb77pdh0042dkiyjcs75ba2,Vicious Cycles Athens,Vicious Cycles Athens Gift Card,vca.gr,sports,125,,operator-curated-exact-domain:vca.gr
SAFE,cmtb77y4v005bdkiyuijz0q0u,Quad & Buggy Safari Crete,Gift Card - Quad & Buggy Safari Crete,offroadcrete.gr,experiences,125,,operator-curated-exact-domain:offroadcrete.gr
SAFE,cmtb78bdk0072dkiyytg3oz0b,Sportboutique,Gift Voucher,sportboutique.gr,sports,125,,operator-curated-exact-domain:sportboutique.gr
SAFE,cmtb78cvq007adkiylvhj4shj,Lonis Tattoo Studio,Lonis Tattoo Studio Gift Card,tattooathens.gr,experiences,125,,operator-curated-exact-domain:tattooathens.gr
SAFE,cmtb78da6007cdkiy8c9l1s4m,Drive at Serres Racing Circuit,Gift Card - Drive at Serres Racing Circuit,track-speed.gr,experiences,125,,operator-curated-exact-domain:track-speed.gr
SAFE,cmtb78dnx007edkiybk18rh14,Αρχεία - Αρωματοπωλείον,Δωροκάρτα Αρχεία - Αρωματοπωλείον,yourscent.gr,beauty,131,,operator-curated-exact-domain:yourscent.gr | historical-query|data/discovery/review-universe-v4/auto-safe.csv:beauty
SAFE,cmtb7hvgv000104iytg42blo5,Virtual Reality Athens,Gift vouchers - Virtual Reality Athens,virtual-room.com,experiences,125,,operator-curated-exact-domain:virtual-room.com
SAFE,cmtb7i194000v04iygg8ltr9f,Prepare for Greece,Prepare for Greece Greek Language Course Gift Card,prepareforgreece.com,experiences,125,,operator-curated-exact-domain:prepareforgreece.com
REVIEW,cmt79igbu001084iy7fkqj7p6,Lentiamo,Lentiamo Gift Card,lentiamo.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmt8gzro7000114iywjzh5sfg,JD Sports Greece,JD Sports Greece Gift Card,jdsports.gr,fashion:106 | sports:84,,AMBIGUOUS_CATEGORY_EVIDENCE,merchant-discovery-scan:fashion | historical-category|data/discovery/mass/merchant-universe.csv:fashion | unambiguous-merchant-keyword:sports
REVIEW,cmta1ev910005q8iyv5m8ybru,Lidl Greece,Δωροκάρτα Lidl,lidl-hellas.gr,restaurants:78,,AMBIGUOUS_CATEGORY_EVIDENCE,historical-category|data/discovery/mass/merchant-universe.csv:food_restaurants
REVIEW,cmta1f09t000nq8iyx3uehika,Adagio,Adagio Gift Voucher 200 euro,adagio.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f16s000rq8iy7vke82nt,John-Andy,JOHN-ANDY Δωροεπιταγή 20 Ευρώ,john-andy.com,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f1n7000tq8iylhz55ztt,Msba Events,Msba Events Gift Card,msba-events.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f2ys000zq8iy7gecoj9o,Papachatzis,Papachatzis Gift Card,papachatzis.com,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f3cy0011q8iy2c3kuujw,Perdikis,ΕΥΧΕΤΗΡΙΑ ΚΑΡΤΑ ΓΙΑ ΧΡΗΜΑΤΑ (ΜΠΙΛΙΕΤΑΚΙ) PICTURA ΟΥΡΑΝΙΟ ΤΟΞΟ 19926,perdikis.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f4810013q8iymlrt4857,P Kontopoulos,Δωροκάρτα P Kontopoulos,pkontopoulos.com,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f52d0015q8iyugckloir,Mar & Mar,Mar & Mar Gift Card,marandmar.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f5j70017q8iy3ul3t87x,arfie.gr,Arfie Gift Card,arfie.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f6xk001dq8iy0rtydwan,Top-Style,Δωροκάρτα,top-style.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f7sv001hq8iy1icrtpiv,Tziouti-alexandra,Δώρο Επιταγή,tziouti-alexandra.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f888001jq8iyip6oud9c,Theodorou.Shop,e-Δωροκάρτα | 300,theodorou.shop,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f8o2001lq8iy7sedywm0,Greenpeace,Δωροκάρτα,greenpeacegreece.org,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1faxg001vq8iy39nw940w,Mentzos,Mentzos Gift Card,mentzos.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1fc87001zq8iyhzmjutaj,Mastorino,Δωροκάρτα Next Systems,mastorino.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1feem0027q8iy70t8vano,AngryNerd,Δωροκάρτα,angrynerd.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1ffa4002bq8iy5k6w34t1,Shopdali,DA|LI Gift Card 50,shopdali.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1fgap002dq8iyswsnc8wa,Niceyou,Gift Card 100,niceyou.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1fhpc002fq8iydkzv0m1y,e-Mamouth,ΔΩΡΟΕΠΙΤΑΓΗ,e-mamouth.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1fj1o002lq8iyo5np81fy,Ipatios,Δωροκάρτα 100,ipatios.gr,,,NO_CATEGORY_EVIDENCE,
