action,domain,keep_id,duplicate_id,duplicate_name,production_id,production_name,source_name,reason
MARK_DUPLICATE_DISCOVERY,e-stathatos.gr,cmt8pnzfy001kzsiyixhkvibe,cmt8pofkd0063zsiyndkv6ip7,e-Stathatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,e-stathatos.gr,cmt8pnzfy001kzsiyixhkvibe,cmt8pogcl006bzsiygpp2kdhw,e-Stathatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,e-tennis.gr,,cmt9s0k5i0001kciys2pedpst,e-tennis,cmt79iejk000h84iy7juh3r7b,e-tennis,Kouponia365 Gift Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,e-tennis.gr,,cmt71fvp2000cl0iy183i4whb,e-tennis,cmt79iejk000h84iy7juh3r7b,e-tennis,e-tennis,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,e-tennis.gr,,cmt8pnuw8000azsiy5fzngec0,E-tennis,cmt79iejk000h84iy7juh3r7b,e-tennis,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,e-tennis.gr,,cmt8pnydz0019zsiyni81qita,E-tennis,cmt79iejk000h84iy7juh3r7b,e-tennis,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,e-tennis.gr,,cmt8po2wv002jzsiy95mqu9zp,E-tennis,cmt79iejk000h84iy7juh3r7b,e-tennis,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,e-tennis.gr,,cmt8po6yn003ozsiyhiby8jxy,E-tennis,cmt79iejk000h84iy7juh3r7b,e-tennis,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,e-tennis.gr,,cmt8poah2004nzsiylmapf6fh,E-tennis,cmt79iejk000h84iy7juh3r7b,e-tennis,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,e-tennis.gr,,cmt8pockd0058zsiy121bhb4u,E-tennis,cmt79iejk000h84iy7juh3r7b,e-tennis,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,ekklisiastikakarditsa.gr,cmt8pnzj5001lzsiyg6014e8y,cmt8po402002uzsiyfgvfz3n9,Ekklisiastika Karditsa,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ekklisiastikakarditsa.gr,cmt8pnzj5001lzsiyg6014e8y,cmt8po81s003zzsiy77yqjitc,Ekklisiastika Karditsa,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ekklisiastikakarditsa.gr,cmt8pnzj5001lzsiyg6014e8y,cmt8pob6m004uzsiy51019tgb,Ekklisiastika Karditsa,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ekklisiastikakarditsa.gr,cmt8pnzj5001lzsiyg6014e8y,cmt8poda1005fzsiyfvrfd0zu,Ekklisiastika Karditsa,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ekklisiastikakarditsa.gr,cmt8pnzj5001lzsiyg6014e8y,cmt8poesz005vzsiym7ey32ig,Ekklisiastika Karditsa,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ekklisiastikakarditsa.gr,cmt8pnzj5001lzsiyg6014e8y,cmt8pofnz0064zsiywgopit77,Ekklisiastika Karditsa,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,el.aegeanair.com,,cmt71fvag0005l0iyjxpt1xdz,AEGEAN,cmt79icwc000084iyqmpbd9de,AEGEAN,AEGEAN,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,el.aegeanair.com,,cmt9s0kdb0003kciyyffe78ag,Aegean Airlines,cmt79icwc000084iyqmpbd9de,AEGEAN,Kouponia365 Gift Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,elisabettafranchi.com,,cmt8nh0t700085kiyldsbsr4w,Elisabetta Franchi,cmt8pswfr0001tgiyw7z7ffed,Elisabetta Franchi,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,epiploset.gr,cmt8pnvhc000gzsiyjr580hi5,cmt8po0up001yzsiyr9aifpj9,EpiploSet,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,epiploset.gr,cmt8pnvhc000gzsiyjr580hi5,cmt8po58w0037zsiyossm7qxe,EpiploSet,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,epiploset.gr,cmt8pnvhc000gzsiyjr580hi5,cmt8po8x10048zsiy9brxfssb,EpiploSet,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ergaleiogatos.gr,cmt8po0kt001vzsiy6dumutu7,cmt8po4yv0034zsiyijtcf19w,Ergaleiogatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ergaleiogatos.gr,cmt8po0kt001vzsiy6dumutu7,cmt8po8px0046zsiy5tb7uax3,Ergaleiogatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,eu.puma.com,,cmt8h29930001yoiyn3ke7084,Puma Greece,cmt8hesrb000fa8iycuggb6wc,Puma Greece,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,evripidis.gr,cmt9s4qss000kzwiy72mvg0oa,cmt9s4qw8000lzwiyzyx2zbn8,Evripidis,,,Rediscovery Engine,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,evripidis.gr,cmt9s4qss000kzwiy72mvg0oa,cmt9s4qzk000mzwiyopy7q2i0,Evripidis,,,Rediscovery Engine,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,evripidis.gr,cmt9s4qss000kzwiy72mvg0oa,cmt9s4r3a000nzwiy9oknk066,Evripidis,,,Rediscovery Engine,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,evripidis.gr,cmt9s4qss000kzwiy72mvg0oa,cmt9s4qlr000izwiybjfx1jei,Evripidis,,,Rediscovery Engine,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,evripidis.gr,cmt9s4qss000kzwiy72mvg0oa,cmt9s4qpa000jzwiyvluxk0fh,Evripidis,,,Rediscovery Engine,Same explicit possibleOfficialUrl domain as keeper
