type,confidence,left_id,left_name,left_domain,right_id,right_name,right_domain,reason
DISCOVERY_VS_PRODUCTION,100,cmt8poi10006tzsiybo5sai8p,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8poi7o006vzsiycehan23e,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_EXACT_DOMAIN,100,cmt8po0h7001uzsiyj40cvhkx,LIAKOPOULOS Brands Store,liakopoulos-store.gr,cmt8po4v40033zsiy226nxtt9,LIAKOPOULOS Brands Store,liakopoulos-store.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8po0h7001uzsiyj40cvhkx,LIAKOPOULOS Brands Store,liakopoulos-store.gr,cmt8po8mb0045zsiymw6lznrh,LIAKOPOULOS Brands Store,liakopoulos-store.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8hsge0000easiy7pox6lv6,Lidl Greece,lidl-hellas.gr,cmt9s7jn7000pzwiy1gt4xevk,Lidl Greece,lidl-hellas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8hsge0000easiy7pox6lv6,Lidl Greece,lidl-hellas.gr,cmt9s7jq2000qzwiy4wefk3s6,Lidl Greece,lidl-hellas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnwll000rzsiyf5h12lhk,Mentzos,mentzos.gr,cmt8po1ci0023zsiyi0vt24ww,Mentzos,mentzos.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnwll000rzsiyf5h12lhk,Mentzos,mentzos.gr,cmt8po5qk003czsiyc9s6te5d,Mentzos,mentzos.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnwll000rzsiyf5h12lhk,Mentzos,mentzos.gr,cmt8po9fm004dzsiy5gdcnm7g,Mentzos,mentzos.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnwll000rzsiyf5h12lhk,Mentzos,mentzos.gr,cmt8poby90052zsiyusamez8i,Mentzos,mentzos.gr,Same normalized domain in DiscoveryItems
DISCOVERY_VS_PRODUCTION,100,cmt8mby71000zb8iy6w1nkiad,Microsoft,microsoft.com,cmt8o9uxp000530iyeisee5nm,Microsoft,microsoft.com,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8h9fzy001kyoiyg0m3wqrt,Mothercare Greece,mothercare.gr,cmt8l5xt6000r5giy4sk5grv8,Mothercare Greece,mothercare.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt9s0kyt0009kciyhofsdc6y,Moustakas,moustakastoys.gr,cmt8l5yjh000w5giy3fa6qvqk,Moustakas Toys,moustakastoys.gr,Exact domain already exists in production
DISCOVERY_EXACT_DOMAIN,100,cmt8ha6rd001syoiyqjx185j3,Moustakas Toys,moustakastoys.gr,cmt9s0kyt0009kciyhofsdc6y,Moustakas,moustakastoys.gr,Same normalized domain in DiscoveryItems
