score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
100,aldoshoes.gr,Gift Card – ALDO Greece,https://aldoshoes.gr/pages/gift-card,Gift Card – ALDO Greece,"Gift Card. Customer Care. Help Center · Orders ... Shoes you'll love. Accessories you'll wear ... By submitting this form, you consent to receive informational ( ...","""shoes"" ""gift card"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear
85,aleboutique.gr,Δωροκάρτα - Aleboutique.gr,https://aleboutique.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-aleboutique,Δωροκάρτα - Aleboutique.gr,Αγοράστε μία Δωροκάρτα αξίας από 10€ έως 200€ | Το Aleboutique.gr σου ... BAGS · SHOULDER BAGS · STRAW BAGS · CLUTCH BAGS · PHONE BAGS · BACKPACK · WALLETS ...,"""bags"" ""δωροκάρτα"" Greece",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
100,alexander-edu.org,Learn Modern and Ancient Greek in Greece!,https://alexander-edu.org/gift-card/,Gift Card - Learn Modern and Ancient Greek in Greece!,Wonderful experience with this school in Thessaloniki - the right mixture of ... Gift Card. Want to surprise someone with more than just a typical gift ...,"""Thessaloniki"" ""experience"" ""gift card""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,alexandrisstores.gr,Valentine's day Gift Card,https://alexandrisstores.gr/en/product/valentines-day-gift-card-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,Valentine's day Gift Card - Δωροκάρτα - Αλεξανδρής Καταστήματα,Weeks Special. alexandris-stores-leather-sneakers-mple-blue-dermatina-anatomika- ... Valentine's day Gift Card – Δωροκάρτα ... δωροκάρτα με το ποσό και το κείμενο ...,"site:.gr ""leather"" ""δωροκάρτα""",2,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear
85,alfafood.gr,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,https://www.alfafood.gr/index.php?route,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,Αγοράστε μία Δωροεπιταγή ... Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ολοκληρωθεί ή πληρωμή σας. Όνομα παραλήπτη. E-mail παραλήπτη.,"site:.gr ""food"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
80,alhimistisbags.gr,Alhimistis Bags,https://alhimistisbags.gr/product/dwroepitagh-alhimistis-bags/?srsltid,Δωροεπιταγή Alhimistis Bags,"Δωροεπιταγή Alhimistis Bags. 50,00 € ; From: To: ; Θα μας βρείτε. Διεύθυνση καταστήματος: Λεωφ. Ελευθερίου Βενιζέλου 57 (Πανεπιστημίου 57) Τ.Κ. 10564, Αθήνα. E- ...","site:.gr ""bags"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
100,alisahne.com,Gift Card | ALISAHNE Resort Collection,https://alisahne.com/en/product/gift-card/,Gift Card | ALISAHNE Resort Collection,HomeGift cardGift Card. gift-card-n. Gift Card. Shipping Worldwide; Free ... Close submenu (Resort Wear)Resort Wear. Dresses · Jumpsuits – Playsuits · Kaftans ...,"""resort"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,all.accor.com,The Perfect Present: The ALL Accor Gift Card,https://all.accor.com/a/en/experiences/all-gift-card.html,The Perfect Present: The ALL Accor Gift Card,An extended seaside escape in Crete. ALL ... Any bookings paid in advance will be refunded at the hotel and your gift voucher will be used as payment.,"""Crete"" ""hotel"" ""gift voucher""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,alliedmarketresearch.com,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis",https://www.alliedmarketresearch.com/italy-gift-cards-market,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis","For instance in April 16, 2020, Instagram in Italy has now officially announced the addition of its new gift card, food order, and fundraiser tools for stories ...","""Italy"" retail ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
80,allpeoplephotography.com,Business Thank You Gift Voucher,https://www.allpeoplephotography.com/vouchers/buiness-thank-you-photo-experience-2/,Business Thank You Gift Voucher,"Business Experience Gift Voucher. As a thank you for your valued custom from one of our business partners & All People Photography ... Greece, Greenland ...","""photography"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
