score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,blackhawknetwork.com,Global Hotel Card by Expedia Gift Card,https://blackhawknetwork.com/gift-cards/global-hotel-card-by-expedia-gift-card,Global Hotel Card by Expedia Gift Card,... Germany (German) · Hong Kong (English) · Indonesia (English) · Indonesia ... Hotel Card by Expedia Gift Card. Image. Global Hotel Card Powered by Expedia Gift ...,"""Germany"" hotel ""gift card"" official",REJECT,known_reseller_editorial_or_research_domain
100,blog.easytechnology.gr,Steam gift card greece Αρχεία - Blog.EasyTechnology.gr,https://blog.easytechnology.gr/tag/steam-gift-card-greece/,Steam gift card greece Αρχεία - Blog.EasyTechnology.gr,"... gift card greece, Steam redeem Code, steam δωροκαρτα, δωροκαρτα steam, πώς να κατεβάσω το steam στον υπολογιστή, στεαμ dvrokarta. Πάμε στο EasyTechnology.gr ...","""technology"" ""gift card"" Greece",REJECT,blog_or_reseller_subdomain
100,blog.germanos.gr,Τι δώρο να πάρω; E,https://blog.germanos.gr/articles/reviews-guides/germanos-e-gift-card-fetos-ta-hristoygenna-harise-toys-oti-theloyn,Τι δώρο να πάρω; E-Gift Card - G BLOG,"Η ΓΕΡΜΑΝΟΣ e-Gift Card είναι το ιδανικό δώρο για τα Χριστούγεννα γιατί προσφέρει ευελιξία, άνεση, άμεση αγορά και πλήθος επιλογών.","""toys"" ""gift card"" Greece",REJECT,blog_or_reseller_subdomain
100,blog.nosh.ng,Five Of The Most Popular Gift Card Types Available In Sweden,https://blog.nosh.ng/popular-gift-cards-available-sweden,Five Of The Most Popular Gift Card Types Available In Sweden,"Ahlens Gift Card is issued by a famous retail store in Sweden. They are well known for diverse home products, fashion, media, and beauty products. An Ahlens ...","""Sweden"" beauty ""gift card"" official",REJECT,blog_or_reseller_subdomain
100,brandedboxes.eu,"Custom Gift Card Boxes in Ioannina, Greece | Retail | Branded Boxes",https://brandedboxes.eu/industries/retail/products/gift-card-boxes/greece/ioannina,"Custom Gift Card Boxes in Ioannina, Greece | Retail | Branded Boxes","... Ioannina. Retail · Ioannina, Greece. Custom Gift Card Boxes in Ioannina, Greece. Premium gift card boxes delivered to Ioannina ... Restaurant gift voucher ...","""Ioannina"" ""gift voucher""",REJECT,reseller_editorial_research_or_packaging_signal
100,business.giftcardstore.co.uk,Fashion Favourites Gift Card,https://business.giftcardstore.co.uk/Products/2212929,Fashion Favourites Gift Card - Gift Card Store,"... Gift Card. Gift Card. CONTINUE SHOPPING > Gift Cards > Fashion Favourites Gift Card ... UK's top fashion brands, all in one stylish little card. Let them treat ...","""UK"" fashion ""gift card"" official",REJECT,blog_or_reseller_subdomain
100,businessinsider.com,"Geneva Offers Tourists Free Gift Cards for Hotels, Around ...",https://www.businessinsider.com/geneva-switzerland-tourists-free-gift-cards-hotels-restaurants-2020-8,"Geneva Offers Tourists Free Gift Cards for Hotels, Around ...",The gift card can be used through December 31 of this year. geneva harbor fountain switzerland. French is the main language spoken in Geneva.,"""Switzerland"" hotel ""gift card"" official",REJECT,known_reseller_editorial_or_research_domain
100,businesswire.com,Greece Gift Card and Incentive Card Market Intelligence ...,https://www.businesswire.com/news/home/20240415539994/en/Greece-Gift-Card-and-Incentive-Card-Market-Intelligence-and-Future-Dynamics-2024-Market-will-Increase-from-%24800-Billion-in-2023-to-Reach-%241.1-Billion-by-2028---ResearchAndMarkets.com,Greece Gift Card and Incentive Card Market Intelligence ...,Jewelry; Sporting Goods; Home & Kitchen Accessories & Appliances; Travel; Entertainment & Gaming; Other. Gift Card Spend by Retail Sector (Split ...,"""jewelry"" ""gift card"" Greece",REJECT,known_reseller_editorial_or_research_domain
100,buysellvouchers.com,Buy Apple Gift Cards Greece,https://www.buysellvouchers.com/en/products/list/gift-cards-apple/GR/?srsltid=AfmBOoodLz4gEwUbt1wlM50lIg6h66zcvfoUrjk1prsyLR-t_yGBKnnL,Buy Apple Gift Cards Greece,Gaming Entertainment Retail Food Travel Prepaid Sport Electronics Home Beauty Ebooks Mobile Vcc Software Downloads All gift cards. Apple Gift Card Greece.,"""electronics"" ""gift card"" Greece",REJECT,known_reseller_editorial_or_research_domain
100,cardfly.net,MANGO Greece Gift Card | EUR - CardFly,https://cardfly.net/gift-cards/mango/greece,MANGO Greece Gift Card | EUR - CardFly,Because typing card details twice is nobody's hobby. Download onApp ... gift voucher code.</p> <p>If the order value is lower than the voucher value ...,"""hobby"" ""gift voucher"" Greece",REJECT,known_reseller_editorial_or_research_domain
