domain,merchantName,title,possibleOfficialUrl,score,occurrences,reason,action
maamonpapa.gr,Στείλτε μια Δωροκάρτα,Στείλτε μια Δωροκάρτα,https://www.maamonpapa.gr/index.php?route=account/voucher,115,1,,QUEUE_NEW
malleconcept.gr,Αρχεία,Gift card Αρχεία,https://www.malleconcept.gr/product-category/gift-card/,115,1,,QUEUE_NEW
melloncollection.gr,Melloncollection,Gift Card,https://melloncollection.gr/product/gift-card/,115,6,,QUEUE_NEW
momandme.gr,100€ - Mom & Me,Δωροκάρτα 100€ - Mom & Me,https://momandme.gr/product/gift-card-100/,115,1,,QUEUE_NEW
mustmenfashion.gr,Δωροεπιταγές,Δωροεπιταγές,https://mustmenfashion.gr/voucher-purchase,115,1,,QUEUE_NEW
plegmashop.gr,Plegmashop,Gift Voucher,https://plegmashop.gr/product/gift-voucher/,115,1,,QUEUE_NEW
skincareplus.gr,Skincareplus,Δωροκάρτα,https://skincareplus.gr/product/dorokarta/,115,1,,QUEUE_NEW
sportboutique.gr,Sportboutique,Gift Voucher,https://sportboutique.gr/gift-voucher/,115,1,,QUEUE_NEW
stemalaser.gr,Stemalaser,Gift Card,https://stemalaser.gr/en/product/gift-card-2/,115,1,,QUEUE_NEW
stretchandrelax.gr,MASSAGE & PILATES GIFTCARD - Stretch & Relax,MASSAGE & PILATES GIFTCARD - Stretch & Relax,https://www.stretchandrelax.gr/en/gift-giftcard-massage-pilates,115,1,,QUEUE_NEW
talesofales.gr,για πρωτότυπα και όμορφα δώρα!,Gift Card για πρωτότυπα και όμορφα δώρα!,https://talesofales.gr/product/gift-card-gia-prototypa-kai-omorfa-dora/,115,1,,QUEUE_NEW
tattooathens.gr,LTS GIFT CARD / ΚΑΡΤΑ ΔΩΡΟΥ,LTS GIFT CARD / ΚΑΡΤΑ ΔΩΡΟΥ,https://www.tattooathens.gr/blog/news/53-lts-gift-card,115,1,,QUEUE_NEW
track-speed.gr,Drive at Serres Racing Circuit,Gift Card - Drive at Serres Racing Circuit,https://track-speed.gr/product/motorsport-gift-voucher-serres/,115,1,,QUEUE_NEW
yourscent.gr,Αρχεία - Αρωματοπωλείον,Δωροκάρτα Αρχεία - Αρωματοπωλείον,https://yourscent.gr/product_cat/wps_wgm_giftcard/,115,1,,QUEUE_NEW
zador.gr,Gift Voucher 100 EUR,Gift Voucher 100 EUR,https://www.zador.gr/en/products/gift-voucher-100-eur,115,1,,QUEUE_NEW
kymasurf.gr,Kymasurf,Gift Card,https://kymasurf.gr/product-category/gift-card/,100,1,,QUEUE_NEW
physis-fitnessclub.gr,Κάρτα Δώρου Physis,Κάρτα Δώρου Physis – Γυμναστήρια Βόρεια Προάστια,http://www.physis-fitnessclub.gr/physis-blog/news/physis-fitness-club-gift-card/,100,1,,QUEUE_NEW
thiamia.gr,Thiamia,Gift Card,https://thiamia.gr/en/product-category/shop/giftcard/,100,1,,QUEUE_NEW
hobbywood.gr,ΔΩΡΟΚΑΡΤΑ 100€,ΔΩΡΟΚΑΡΤΑ 100€,https://www.hobbywood.gr/GIFTCARD100,80,1,,QUEUE_NEW
simclub.gr,Make a gift,Make a gift,https://www.simclub.gr/en/gift-vouchers/,80,1,,QUEUE_NEW
ymonanatripsis.gr,I Thought Of You,I Thought Of You,https://www.ymonanatripsis.gr/en/gift-card/,80,1,,QUEUE_NEW
